LOCAL_DATE,STATION_NAME,LATITUDE,LONGITUDE,MIN_TEMPERATURE,MAX_TEMPERATURE,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_RAIN,TOTAL_SNOW,SNOW_ON_GROUND
2013-01-01,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,1.5,5.5,3.5,0.0,0.0,0.0,0.0
2013-01-02,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.0,10.5,6.8,0.0,0.0,0.0,0.0
2013-01-03,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.0,8.0,5.0,7.4,7.4,0.0,0.0
2013-01-04,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,5.0,8.0,6.5,6.0,6.0,0.0,0.0
2013-01-05,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.5,10.0,6.8,23.0,23.0,0.0,0.0
2013-01-06,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.5,6.0,4.8,24.6,24.6,0.0,0.0
2013-01-07,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.5,6.0,4.8,5.6,5.6,0.0,0.0
2013-01-08,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.0,5.0,3.5,35.2,35.2,0.0,0.0
2013-01-09,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,1.0,4.0,2.5,0.4,0.4,0.0,0.0
2013-01-10,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,0.0,2.5,1.3,0.0,0.0,0.0,0.0
2013-01-11,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,-2.0,1.0,-0.5,0.0,0.0,0.0,0.0
2013-01-12,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,-1.0,2.5,0.8,0.0,0.0,0.0,0.0
2013-01-13,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,-0.5,3.5,1.5,0.0,0.0,0.0,0.0
2013-01-14,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.0,6.0,4.0,0.0,0.0,0.0,0.0
2013-01-15,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,1.5,5.0,3.3,0.8,0.8,0.0,0.0
2013-01-16,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,4.0,6.5,5.3,0.0,0.0,0.0,0.0
2013-01-17,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.5,6.0,4.8,3.4,3.4,0.0,0.0
2013-01-18,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,3.0,8.5,5.8,0.6,0.6,0.0,0.0
2013-01-19,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,2.5,7.5,5.0,0.0,0.0,0.0,0.0
2013-01-20,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,1.0,5.5,3.3,0.0,0.0,0.0,0.0
2013-01-21,ADDENBROKE ISLAND,51.60352777777778,-127.8638611111111,1.0,7.0,4.0,0.6,0.6,0.0,0.0
