x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,FRE_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,FRE_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FRE_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA
-123.7,48.916666666666664,2,CHEMAINUS BARE POINT,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,485500000,-1234200000,PST,3.00,101AE00,,,N/A,G,1,9,,,,,1979-01-01 00:00:00,1979-12-31 00:00:00,,,1979-11-01 00:00:00,1979-12-31 00:00:00,1979-01-01 00:00:00,1979-12-01 00:00:00,Y,N,N
-123.35,48.88333333333333,3,GALIANO SOUTH 2,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,485300000,-1232100000,PST,61.00,101C0ME,,,N/A,G,1,8,,,,,1979-01-01 00:00:00,1984-12-01 00:00:00,,,1979-05-01 00:00:00,1984-01-31 00:00:00,1979-01-01 00:00:00,1984-12-01 00:00:00,Y,N,N
-123.31666666666666,48.86666666666667,4,GALIANO SOUTH,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,485200000,-1231900000,PST,15.20,101C04E,,,N/A,G,1,9,,,,,1977-01-01 00:00:00,1978-12-31 00:00:00,,,1977-07-01 00:00:00,1978-12-31 00:00:00,1977-01-01 00:00:00,1978-12-01 00:00:00,Y,N,N
-123.41666666666667,48.55,5,SAANICH OLDFIELD NORTH,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,483300000,-1232500000,PST,69.50,101F942,,,N/A,,1,9,,,,,1965-12-01 00:00:00,1967-12-01 00:00:00,,,1965-12-01 00:00:00,1967-03-31 00:00:00,1966-01-01 00:00:00,1967-12-01 00:00:00,Y,N,N
-123.26694444444445,48.455,6,VICTORIA PHYLLIS STREET,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,482718000,-1231601000,PST,7.60,101HFEE,,,Climate-Staffed,C,1,4,,,,,1973-01-01 00:00:00,2001-08-31 00:00:00,,,1973-06-01 00:00:00,2001-08-31 00:00:00,1973-01-01 00:00:00,2001-08-01 00:00:00,Y,N,N
-123.43333333333334,48.45,7,VICTORIA PORTAGE INLET,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,482700000,-1232600000,PST,6.10,101HFNE,,,N/A,F,1,7,,,,,1976-01-01 00:00:00,1983-12-01 00:00:00,,,1976-05-01 00:00:00,1983-05-31 00:00:00,1976-01-01 00:00:00,1983-12-01 00:00:00,Y,N,N
-123.3,48.43333333333333,8,VICTORIA WILLOWS PARK,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,482600000,-1231800000,PST,9.10,101HF66,,,N/A,F,1,7,,,,,1970-01-01 00:00:00,1979-12-01 00:00:00,,,1970-04-01 00:00:00,1979-01-31 00:00:00,1970-01-01 00:00:00,1979-12-01 00:00:00,Y,N,N
-123.38333333333334,48.43333333333333,9,VICTORIA WEST,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,482600000,-1232300000,PST,15.20,101H6FF,,,N/A,,1,9,,,,,1967-01-01 00:00:00,1968-12-01 00:00:00,,,1967-10-01 00:00:00,1968-07-31 00:00:00,1967-01-01 00:00:00,1968-12-01 00:00:00,Y,N,N
-123.36666666666666,48.45,10,VICTORIA SHORT STREET,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,482700000,-1232200000,PST,21.30,101QFEG,,,N/A,G,1,8,,,,,1961-01-01 00:00:00,1973-12-01 00:00:00,,,1961-11-01 00:00:00,1973-08-31 00:00:00,1961-01-01 00:00:00,1973-12-01 00:00:00,Y,N,N
-123.33333333333333,48.46666666666667,11,VICTORIA SHELBOURNE,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,482800000,-1232000000,PST,49.00,101QF57,,,N/A,F,1,7,,,,,1964-01-01 00:00:00,1991-11-01 00:00:00,,,1964-05-01 00:00:00,1991-10-31 00:00:00,1964-01-01 00:00:00,1991-11-01 00:00:00,Y,N,N
-123.43333333333334,48.516666666666666,12,VICTORIA PROSPECT LAKE,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,483100000,-1232600000,PST,61.00,101Q6NN,,,N/A,E,1,6,,,,,1973-01-01 00:00:00,1986-12-01 00:00:00,,,1973-11-01 00:00:00,1986-11-30 00:00:00,1973-01-01 00:00:00,1986-12-01 00:00:00,Y,N,N
-123.35,48.43333333333333,13,VICTORIA PRINCESS AVE,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,482600000,-1232100000,PST,27.00,101Q655,,,N/A,G,1,8,,,,,1973-01-01 00:00:00,1991-12-01 00:00:00,,,1973-11-01 00:00:00,1991-11-30 00:00:00,1973-01-01 00:00:00,1991-12-01 00:00:00,Y,N,N
-123.28333333333333,48.86666666666667,14,ACTIVE PASS,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,485200000,-1231700000,PST,4.00,1010066,,,Climate-Staffed,F,1,7,,,,,1984-01-01 00:00:00,1996-11-30 00:00:00,,,1984-07-01 00:00:00,1996-11-30 00:00:00,1984-01-01 00:00:00,1996-11-01 00:00:00,Y,N,N
-123.48333333333333,48.4,15,ALBERT HEAD,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,482400000,-1232900000,PST,17.00,1010235,,,N/A,E,1,6,,,,,1971-01-01 00:00:00,1995-04-30 00:00:00,,,1971-06-01 00:00:00,1995-04-30 00:00:00,1971-01-01 00:00:00,1995-04-01 00:00:00,Y,N,N
-123.51666666666667,48.583333333333336,16,BAMBERTON OCEAN CEMENT,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,483500000,-1233100000,PST,85.30,1010595,,,N/A,F,1,7,,,,,1961-01-01 00:00:00,1980-12-01 00:00:00,,,1961-02-01 00:00:00,1980-11-30 00:00:00,1961-01-01 00:00:00,1980-12-01 00:00:00,Y,N,N
-124.0,48.5,17,BEAR CREEK,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,483000000,-1240000000,PST,350.50,1010720,,,N/A,G,1,9,,,,,1910-01-01 00:00:00,1971-12-01 00:00:00,,,1910-11-01 00:00:00,1971-08-31 00:00:00,1910-01-01 00:00:00,1971-12-01 00:00:00,Y,N,N
-123.35,48.5,18,BEAVER LAKE,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,483000000,-1232100000,PST,61.00,1010774,,,N/A,,1,9,,,,,1894-01-01 00:00:00,1952-12-01 00:00:00,,,1894-12-01 00:00:00,1952-06-30 00:00:00,1894-01-01 00:00:00,1952-12-01 00:00:00,Y,N,N
-123.63333333333334,48.333333333333336,19,BECHER BAY,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,482000000,-1233800000,PST,12.20,1010780,,,N/A,,1,9,,,,,1956-01-01 00:00:00,1966-12-01 00:00:00,,,1956-12-01 00:00:00,1966-04-30 00:00:00,1956-01-01 00:00:00,1966-12-01 00:00:00,Y,N,N
-123.46666666666667,48.6,20,BRENTWOOD BAY 2,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,483600000,-1232800000,PST,38.00,1010960,,,Climate-Staffed,F,1,7,,,,,1987-01-01 00:00:00,1997-05-31 00:00:00,,,1987-11-01 00:00:00,1997-05-31 00:00:00,1987-01-01 00:00:00,1997-05-01 00:00:00,Y,N,N
-123.45,48.56666666666667,21,BRENTWOOD CLARKE ROAD,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,483400000,-1232700000,PST,30.50,1010961,,,N/A,F,1,7,,,,,1972-01-01 00:00:00,1980-12-01 00:00:00,,,1972-05-01 00:00:00,1980-03-31 00:00:00,1972-01-01 00:00:00,1980-12-01 00:00:00,Y,N,N
-123.43333333333334,48.56666666666667,22,BRENTWOOD W SAANICH RD,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,483400000,-1232600000,PST,91.40,1010965,,,N/A,,1,9,,,,,1960-01-01 00:00:00,1970-12-01 00:00:00,,,1960-08-01 00:00:00,1970-06-30 00:00:00,1960-01-01 00:00:00,1970-12-01 00:00:00,Y,N,N
-123.4,48.55,23,CENTRAL SAANICH TANNER,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,483300000,-1232400000,PST,88.40,10114FF,,,N/A,,1,9,,,,,1966-01-01 00:00:00,1968-12-01 00:00:00,,,1966-05-01 00:00:00,1968-07-31 00:00:00,1966-01-01 00:00:00,1968-12-01 00:00:00,Y,N,N
-123.39212777777777,48.573341666666664,24,CENTRAL SAANICH ISL VIEW,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,483424030,-1232331660,PST,38.00,10114F6,,,Climate-Staffed,A,1,2,,,,,1970-01-01 00:00:00,2008-06-23 00:00:00,,,1970-03-01 00:00:00,2008-06-23 00:00:00,1970-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,N
-123.41666666666667,48.583333333333336,25,CENTRAL SAANICH VEYANESS,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,483500000,-1232500000,PST,53.30,1011467,,,N/A,C,1,4,,,,,1963-01-01 00:00:00,1994-12-01 00:00:00,,,1963-12-01 00:00:00,1994-01-31 00:00:00,1963-01-01 00:00:00,1994-12-01 00:00:00,Y,N,N
-123.74166666666666,48.93502222222222,26,CHEMAINUS,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,485606080,-1234430000,PST,75.00,1011500,,,Climate-Staffed,F,1,7,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,1919-01-01 00:00:00,2024-11-18 00:00:00,,,1919-01-01 00:00:00,2024-11-18 00:00:00,1919-01-01 00:00:00,2007-02-01 00:00:00,Y,N,N
-123.6,48.68333333333333,27,COBBLE HILL,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,484100000,-1233600000,PST,99.00,1011743,,,N/A,G,1,8,,,,,1990-01-01 00:00:00,1994-12-01 00:00:00,,,1990-11-01 00:00:00,1994-02-28 00:00:00,1990-01-01 00:00:00,1994-12-01 00:00:00,Y,N,N
-123.56666666666666,48.65,28,COBBLE HILL DELOUME ROAD,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,483900000,-1233400000,PST,61.00,1011745,,,N/A,E,1,6,,,,,1970-01-01 00:00:00,1981-12-01 00:00:00,,,1970-04-01 00:00:00,1981-10-31 00:00:00,1970-01-01 00:00:00,1981-12-01 00:00:00,Y,N,N
-123.4,48.65,29,COLE BAY,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,483900000,-1232400000,PST,36.60,1011775,,,N/A,,1,9,,,,,1923-01-01 00:00:00,1942-12-01 00:00:00,,,1923-10-01 00:00:00,1942-03-31 00:00:00,1923-01-01 00:00:00,1942-12-01 00:00:00,Y,N,N
-123.48055555555555,48.41777777777778,30,COLWOOD HATLEY DR,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,482504000,-1232850000,PST,75.60,1011810,,,Climate-Staffed,D,1,5,,,,,1981-01-01 00:00:00,2001-01-31 00:00:00,,,1981-01-01 00:00:00,2001-01-31 00:00:00,1981-01-01 00:00:00,2001-01-01 00:00:00,Y,N,N
-123.83333333333333,48.833333333333336,31,COPPER CANYON,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,485000000,-1235000000,PST,176.80,1011860,,,N/A,,1,9,,,,,1957-01-01 00:00:00,1959-12-01 00:00:00,,,1957-07-01 00:00:00,1959-09-30 00:00:00,1957-01-01 00:00:00,1959-12-01 00:00:00,Y,N,N
-123.36666666666666,48.53333333333333,32,CORDOVA BAY,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,483200000,-1232200000,PST,37.20,1011920,,,N/A,,1,9,,,,,1951-01-01 00:00:00,1970-12-01 00:00:00,,,1951-12-01 00:00:00,1970-03-31 00:00:00,1951-01-01 00:00:00,1970-12-01 00:00:00,Y,N,N
-123.36666666666666,48.516666666666666,33,CORDOVA BAY SOUTH,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,483100000,-1232200000,PST,26.00,1011922,,,N/A,E,1,6,,,,,1972-01-01 00:00:00,1995-05-31 00:00:00,,,1972-03-01 00:00:00,1995-05-31 00:00:00,1972-01-01 00:00:00,1995-05-01 00:00:00,Y,N,N
-123.7,48.416666666666664,34,COWICHAN,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,482500000,-1234200000,PST,51.80,1012008,,,N/A,,1,9,,,,,1904-01-01 00:00:00,1925-12-01 00:00:00,,,1904-02-01 00:00:00,1925-08-31 00:00:00,1904-01-01 00:00:00,1925-12-01 00:00:00,Y,N,N
-123.55666666666667,48.71111111111111,35,COWICHAN BAY CHERRY POINT,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,484240000,-1233324000,PST,1.00,1012010,,,Climate-Staffed,E,1,6,,,,,1913-01-01 00:00:00,2001-03-31 00:00:00,,,1913-10-01 00:00:00,2001-03-31 00:00:00,1913-01-01 00:00:00,2001-03-01 00:00:00,Y,N,N
-123.6,48.733333333333334,36,COWICHAN BAY SOUTHEAST,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,484400000,-1233600000,PST,94.00,1012018,,,N/A,G,1,8,,,,,1989-01-01 00:00:00,1994-12-01 00:00:00,,,1989-06-01 00:00:00,1994-02-28 00:00:00,1989-01-01 00:00:00,1994-12-01 00:00:00,Y,N,N
-124.13333333333334,48.824444444444445,37,COWICHAN LAKE FORESTRY,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,484928000,-1240800000,PST,176.80,1012040,,,Climate-Staffed,A,1,1,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,1949-01-01 00:00:00,2018-02-28 00:00:00,,,1949-04-01 00:00:00,2018-02-28 00:00:00,1949-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,N
-124.11666666666666,48.833333333333336,38,COWICHAN LAKE HATCHERY,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,485000000,-1240700000,PST,152.40,1012046,,,N/A,,1,9,,,,,1931-01-01 00:00:00,1948-12-01 00:00:00,,,1931-11-01 00:00:00,1948-08-31 00:00:00,1931-01-01 00:00:00,1948-12-01 00:00:00,Y,N,N
-124.48333333333333,48.93333333333333,39,COWICHAN LAKE NITINAT,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,485600000,-1242900000,PST,189.00,1012052,,,N/A,,1,9,,,,,1959-01-01 00:00:00,1962-12-01 00:00:00,,,1959-07-01 00:00:00,1962-09-30 00:00:00,1959-01-01 00:00:00,1962-12-01 00:00:00,Y,N,N
-124.05222222222223,48.82944444444445,40,LAKE COWICHAN,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,484946000,-1240308000,PST,171.00,1012055,,,Climate-Staffed,C,1,4,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,1960-01-01 00:00:00,2024-10-30 00:00:00,,,1960-07-01 00:00:00,2024-10-30 00:00:00,1960-01-01 00:00:00,2007-02-01 00:00:00,Y,N,N
-123.66666666666667,48.81666666666667,41,CROFTON,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,484900000,-1234000000,PST,30.50,1012190,,,N/A,,1,9,,,,,1921-01-01 00:00:00,1968-12-31 00:00:00,,,1921-01-01 00:00:00,1968-12-31 00:00:00,1921-01-01 00:00:00,1968-12-01 00:00:00,Y,N,N
-123.71666666666667,48.78333333333333,42,DUNCAN,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,484700000,-1234300000,PST,8.50,1012550,,,N/A,,1,9,,,,,1926-01-01 00:00:00,1957-12-31 00:00:00,,,1926-01-01 00:00:00,1957-12-31 00:00:00,1926-01-01 00:00:00,1957-12-01 00:00:00,Y,N,N
-123.71666666666667,48.833333333333336,43,DUNCAN BCHPA VIT,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,485000000,-1234300000,PST,36.00,1012562,,,N/A,G,1,8,,,,,1972-01-01 00:00:00,1976-12-01 00:00:00,,,1972-10-01 00:00:00,1976-07-31 00:00:00,1972-01-01 00:00:00,1976-12-01 00:00:00,Y,N,N
-123.68333333333334,48.78333333333333,44,DUNCAN EAST,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,484700000,-1234100000,PST,7.60,1012566,,,N/A,,1,9,,,,,1960-01-01 00:00:00,1964-12-01 00:00:00,,,1960-02-01 00:00:00,1964-11-30 00:00:00,1960-01-01 00:00:00,1964-12-01 00:00:00,Y,N,N
-123.68333333333334,48.766666666666666,45,DUNCAN FORESTRY,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,484600000,-1234100000,PST,6.00,1012570,,,N/A,D,1,5,,,,,1958-01-01 00:00:00,1989-12-31 00:00:00,,,1958-07-01 00:00:00,1989-12-31 00:00:00,1958-01-01 00:00:00,1989-12-01 00:00:00,Y,N,N
-123.72750027777778,48.734722222222224,46,DUNCAN KELVIN CREEK,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,484405000,-1234339001,PST,103.00,1012573,,,Climate-Staffed,E,1,6,,,,,1987-01-01 00:00:00,2016-03-20 00:00:00,,,1987-04-01 00:00:00,2016-03-20 00:00:00,1987-01-01 00:00:00,2007-02-01 00:00:00,Y,N,N
-123.63333333333334,48.35,47,EAST SOOKE ANDERSON COVE,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,482100000,-1233800000,PST,36.60,1012628,,,N/A,F,1,7,,,,,1966-01-01 00:00:00,1980-12-01 00:00:00,,,1966-05-01 00:00:00,1980-03-31 00:00:00,1966-01-01 00:00:00,1980-12-01 00:00:00,Y,N,N
