x,y,MAX_REL_HUMIDITY,MAX_TEMPERATURE_FLAG,LOCAL_DAY,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,ID,LOCAL_MONTH,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,SNOW_ON_GROUND,DIRECTION_MAX_GUST,MIN_REL_HUMIDITY,MIN_TEMPERATURE,CLIMATE_IDENTIFIER,DIRECTION_MAX_GUST_FLAG,LOCAL_DATE,LOCAL_YEAR,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,TOTAL_RAIN,TOTAL_RAIN_FLAG,SPEED_MAX_GUST,TOTAL_PRECIPITATION_FLAG,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS_FLAG,STATION_NAME,MAX_TEMPERATURE,PROVINCE_CODE,TOTAL_SNOW_FLAG
-121.93415138888889,50.683727777777776,98,,18,19.1,,1114619.2013.1.18,1,0,,,,,75,-4.4,1114619,M,2013-01-18 00:00:00,2013,-1.1,,M,,,,,M,,M,,,LILLOOET,2.3,BC,M
-121.93415138888889,50.683727777777776,98,,24,17.5,,1114619.2013.1.24,1,0,,,,,73,-3.7,1114619,M,2013-01-24 00:00:00,2013,0.5,,M,,,,,M,,M,,,LILLOOET,4.6,BC,M
-121.93415138888889,50.683727777777776,95,,22,24.4,,1114619.2013.1.22,1,0,,,,,71,-9.8,1114619,M,2013-01-22 00:00:00,2013,-6.4,,M,,,,,M,,M,,,LILLOOET,-2.9,BC,M
-121.93415138888889,50.683727777777776,,,14,21.6,,1114619.2013.1.14,1,0,,,,,,-7.5,1114619,M,2013-01-14 00:00:00,2013,-3.6,,M,,,,,M,,M,,,LILLOOET,0.3,BC,M
-121.93415138888889,50.683727777777776,93,,16,21.3,,1114619.2013.1.16,1,0,,,,,74,-6.4,1114619,M,2013-01-16 00:00:00,2013,-3.3,,M,,,,,M,,M,,,LILLOOET,-0.1,BC,M
-121.93415138888889,50.683727777777776,,,4,23.1,,1114619.2013.1.4,1,0,,,,,,-9.2,1114619,M,2013-01-04 00:00:00,2013,-5.1,,M,,,,,M,,M,,,LILLOOET,-0.9,BC,M
-121.93415138888889,50.683727777777776,,,23,22.6,,1114619.2013.1.23,1,0,,,,,,-7.3,1114619,M,2013-01-23 00:00:00,2013,-4.6,,M,,,,,M,,M,,,LILLOOET,-1.9,BC,M
-121.93415138888889,50.683727777777776,,,8,18.4,,1114619.2013.1.8,1,0,,,,,,-2.1,1114619,M,2013-01-08 00:00:00,2013,-0.4,,M,,,,,M,,M,,,LILLOOET,1.3,BC,M
-121.93415138888889,50.683727777777776,93,,17,20.8,,1114619.2013.1.17,1,0,,,,,82,-4.4,1114619,M,2013-01-17 00:00:00,2013,-2.8,,M,,,,,M,,M,,,LILLOOET,-1.2,BC,M
-121.93415138888889,50.683727777777776,94,,21,24.1,,1114619.2013.1.21,1,0,,,,,78,-9.5,1114619,M,2013-01-21 00:00:00,2013,-6.1,,M,,,,,M,,M,,,LILLOOET,-2.6,BC,M
-121.93415138888889,50.683727777777776,,,12,31.6,,1114619.2013.1.12,1,0,,,,,,-16.6,1114619,M,2013-01-12 00:00:00,2013,-13.6,,M,,,,,M,,M,,,LILLOOET,-10.6,BC,M
-121.93415138888889,50.683727777777776,98,,19,20.8,,1114619.2013.1.19,1,0,,,,,85,-5.4,1114619,M,2013-01-19 00:00:00,2013,-2.8,,M,,,,,M,,M,,,LILLOOET,-0.2,BC,M
-121.93415138888889,50.683727777777776,,,9,16.7,,1114619.2013.1.9,1,0,,,,,,-0.1,1114619,M,2013-01-09 00:00:00,2013,1.3,,M,,,,,M,,M,,,LILLOOET,2.7,BC,M
-121.93415138888889,50.683727777777776,,M,15,,,1114619.2013.1.15,1,,,M,,,,-7.3,1114619,M,2013-01-15 00:00:00,2013,,M,M,E,,,,M,,M,,M,LILLOOET,,BC,M
-121.93415138888889,50.683727777777776,,,13,28.9,,1114619.2013.1.13,1,0,,,,,,-14.3,1114619,M,2013-01-13 00:00:00,2013,-10.9,,M,,,,,M,,M,,,LILLOOET,-7.4,BC,M
-121.93415138888889,50.683727777777776,,,11,27.1,,1114619.2013.1.11,1,0,,,,,,-14.6,1114619,M,2013-01-11 00:00:00,2013,-9.1,,M,,,,,M,,M,,,LILLOOET,-3.5,BC,M
-121.93415138888889,50.683727777777776,98,,20,23.2,,1114619.2013.1.20,1,0,,,,,84,-8.8,1114619,M,2013-01-20 00:00:00,2013,-5.2,,M,,,,,M,,M,,,LILLOOET,-1.5,BC,M
-121.93415138888889,50.683727777777776,,,1,26.3,,1114619.2013.1.1,1,0,,,,,,-11.2,1114619,M,2013-01-01 00:00:00,2013,-8.3,,M,,,,,M,,M,,,LILLOOET,-5.3,BC,M
-121.93415138888889,50.683727777777776,,,10,20.3,,1114619.2013.1.10,1,0,,,,,,-5.2,1114619,M,2013-01-10 00:00:00,2013,-2.3,,M,,,,,M,,M,,,LILLOOET,0.7,BC,M
-121.93415138888889,50.683727777777776,,,3,25.9,,1114619.2013.1.3,1,0,,,,,,-12.5,1114619,M,2013-01-03 00:00:00,2013,-7.9,,M,,,,,M,,M,,,LILLOOET,-3.3,BC,M
-121.93415138888889,50.683727777777776,,,5,20.6,,1114619.2013.1.5,1,0,,,,,,-4.9,1114619,M,2013-01-05 00:00:00,2013,-2.6,,M,,,,,M,,M,,,LILLOOET,-0.2,BC,M
-121.93415138888889,50.683727777777776,,,6,16.4,,1114619.2013.1.6,1,0,,,,,,-1.8,1114619,M,2013-01-06 00:00:00,2013,1.6,,M,,,,,M,,M,,,LILLOOET,4.9,BC,M
-121.93415138888889,50.683727777777776,,,2,25.9,,1114619.2013.1.2,1,0,,,,,,-12.2,1114619,M,2013-01-02 00:00:00,2013,-7.9,,M,,,,,M,,M,,,LILLOOET,-3.6,BC,M
-121.93415138888889,50.683727777777776,,,7,16.5,,1114619.2013.1.7,1,0,,,,,,-1.1,1114619,M,2013-01-07 00:00:00,2013,1.5,,M,,,,,M,,M,,,LILLOOET,4.1,BC,M
-121.93415138888889,50.683727777777776,94,,31,14.9,,1114619.2013.1.31,1,0,,,,,79,0.6,1114619,M,2013-01-31 00:00:00,2013,3.1,,M,,,,,M,,M,,,LILLOOET,5.5,BC,M
-121.93415138888889,50.683727777777776,99,,29,17.6,,1114619.2013.1.29,1,0,,,,,93,-0.9,1114619,M,2013-01-29 00:00:00,2013,0.4,,M,,,,,M,,M,,,LILLOOET,1.7,BC,M
-121.93415138888889,50.683727777777776,96,,30,14.7,,1114619.2013.1.30,1,0,,,,,66,-0.6,1114619,M,2013-01-30 00:00:00,2013,3.3,,M,,,,,M,,M,,,LILLOOET,7.2,BC,M
-121.93415138888889,50.683727777777776,99,,26,19.3,,1114619.2013.1.26,1,0,,,,,72,-5,1114619,M,2013-01-26 00:00:00,2013,-1.3,,M,,,,,M,,M,,,LILLOOET,2.4,BC,M
-121.93415138888889,50.683727777777776,96,,27,18.7,,1114619.2013.1.27,1,0,,,,,76,-2.9,1114619,M,2013-01-27 00:00:00,2013,-0.7,,M,,,,,M,,M,,,LILLOOET,1.5,BC,M
-121.93415138888889,50.683727777777776,98,,25,16.9,,1114619.2013.1.25,1,0,,,,,69,-3.9,1114619,M,2013-01-25 00:00:00,2013,1.1,,M,,,,,M,,M,,,LILLOOET,6.1,BC,M
-121.93415138888889,50.683727777777776,99,,28,19.5,,1114619.2013.1.28,1,0,,,,,79,-2,1114619,M,2013-01-28 00:00:00,2013,-1.5,,M,,,,,M,,M,,,LILLOOET,-0.9,BC,M
-121.93415138888889,50.683727777777776,75,,13,11.3,,1114619.2013.2.13,2,0,,,,,32,1.6,1114619,M,2013-02-13 00:00:00,2013,6.7,,M,,,,,M,,M,,,LILLOOET,11.8,BC,M
-121.93415138888889,50.683727777777776,90,,21,15.3,,1114619.2013.2.21,2,0,,,,,52,-1.8,1114619,M,2013-02-21 00:00:00,2013,2.7,,M,,,,,M,,M,,,LILLOOET,7.2,BC,M
