x,y,MIN_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION_FLAG,LOCAL_DAY,COOLING_DEGREE_DAYS,DIRECTION_MAX_GUST_FLAG,TOTAL_RAIN,MEAN_TEMPERATURE_FLAG,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS_FLAG,LOCAL_YEAR,TOTAL_SNOW,ID,MAX_TEMPERATURE,SNOW_ON_GROUND,HEATING_DEGREE_DAYS,LOCAL_DATE,SPEED_MAX_GUST,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,PROVINCE_CODE,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN_FLAG,MIN_TEMPERATURE,MAX_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND_FLAG,LOCAL_MONTH,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE,STATION_NAME
-121.76027777777777,49.24305555555556,,,24,,,0,M,,M,2020,0,1100120.2020.3.24,,,,2020-03-24 00:00:00,,M,M,,BC,,,M,,,,,0,,3,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,1,,,0,M,,M,2021,0,1100120.2021.9.1,,0,,2021-09-01 00:00:00,,M,,,BC,,,M,,,5.5,,0,,9,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,24,0,,0,,,,2017,0,1100120.2017.4.24,16,0,6.5,2017-04-24 00:00:00,,,,,BC,,,,,,7,,0,,4,1100120,11.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,9,1.5,,0,,,,2022,0,1100120.2022.7.9,25,0,0,2022-07-09 00:00:00,,,,,BC,,,,,,14,,0,,7,1100120,19.5,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,8,0,,0,,,,2014,0,1100120.2014.6.8,24,0,0,2014-06-08 00:00:00,,,,,BC,,,,,,12,,0,,6,1100120,18,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,13,0,,1,,,,2013,0,1100120.2013.11.13,14,0,7.7,2013-11-13 00:00:00,,,,,BC,,,,,,6.5,,1,,11,1100120,10.3,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,8,,,5.2,M,,M,2021,0,1100120.2021.12.8,,0,,2021-12-08 00:00:00,,M,,,BC,,,M,,,3,,5.2,,12,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,24,,,0,M,,M,2023,0,1100120.2023.7.24,21,0,,2023-07-24 00:00:00,,,M,,BC,,,M,,,,,0,,7,1100120,,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,22,0,,1.4,,,,2015,0,1100120.2015.4.22,14,0,8,2015-04-22 00:00:00,,,,,BC,,,,,,6,,1.4,,4,1100120,10,AGASSIZ CDA
-121.76027777777777,49.24305555555556,,,21,,,0.2,M,,M,2019,0,1100120.2019.1.21,,0,,2019-01-21 00:00:00,,M,,,BC,,,M,,,-1.5,,0.2,,1,1100120,,AGASSIZ CDA
