x,y,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,MIN_TEMPERATURE,MAX_TEMPERATURE,LOCAL_MONTH,STATION_NAME,TOTAL_RAIN_FLAG,MIN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,TOTAL_RAIN,ID,COOLING_DEGREE_DAYS_FLAG,SNOW_ON_GROUND,HEATING_DEGREE_DAYS_FLAG,LOCAL_YEAR,MAX_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,TOTAL_PRECIPITATION_FLAG,DIRECTION_MAX_GUST,SNOW_ON_GROUND_FLAG,PROVINCE_CODE,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,MAX_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,SPEED_MAX_GUST,LOCAL_DAY,CLIMATE_IDENTIFIER,LOCAL_DATE
-128.63416666666666,54.05361111111111,,,3,11,3,KITIMAT TOWNSITE,,,7,0.5,1064320.2019.3.17,,0,,2019,,,0,,11,0.5,,,,,BC,,0,,,,17,1064320,2019-03-17 00:00:00
-128.63416666666666,54.05361111111111,,,-1,5,2,KITIMAT TOWNSITE,,,2,0.4,1064320.2016.2.23,,0,,2016,,,0,,16,0.4,,,,,BC,,0,,,,23,1064320,2016-02-23 00:00:00
-128.63416666666666,54.05361111111111,,,12.5,22,9,KITIMAT TOWNSITE,,,17.3,0.5,1064320.2017.9.2,,0,,2017,,,0,,0.7,0.5,,,,,BC,,0,,,,2,1064320,2017-09-02 00:00:00
-128.63416666666666,54.05361111111111,,,10,27,8,KITIMAT TOWNSITE,,,18.5,0,1064320.2021.8.21,,0,,2021,,,0.5,,0,0,,,,,BC,,0,,,,21,1064320,2021-08-21 00:00:00
-128.63416666666666,54.05361111111111,,,1,3,1,KITIMAT TOWNSITE,,,2,3.9,1064320.2015.1.28,,0,,2015,,,0,,16,3.9,,,,,BC,,0,,,,28,1064320,2015-01-28 00:00:00
-128.63416666666666,54.05361111111111,,,3,14,11,KITIMAT TOWNSITE,,,8.5,1,1064320.2014.11.2,,0,,2014,,,0,,9.5,1,,,,,BC,,0,,,,2,1064320,2014-11-02 00:00:00
-128.63416666666666,54.05361111111111,,,11,13,9,KITIMAT TOWNSITE,,,12,7,1064320.2017.9.23,,0,,2017,,,0,,6,7,,,,,BC,,0,,,,23,1064320,2017-09-23 00:00:00
-128.63416666666666,54.05361111111111,,,1.5,5,4,KITIMAT TOWNSITE,,,3.3,20.4,1064320.2014.4.10,,0,,2014,,,0,,14.7,20.4,,,,,BC,,0,,,,10,1064320,2014-04-10 00:00:00
-128.63416666666666,54.05361111111111,,,6,17,5,KITIMAT TOWNSITE,,,11.5,3,1064320.2016.5.18,,0,,2016,,,0,,6.5,3,,,,,BC,,0,,,,18,1064320,2016-05-18 00:00:00
-128.63416666666666,54.05361111111111,,,-3,5,3,KITIMAT TOWNSITE,,,1,0,1064320.2018.3.11,,0,,2018,,,0,,17,0,,,,,BC,,0,,,,11,1064320,2018-03-11 00:00:00
-128.63416666666666,54.05361111111111,,,-12,-6,1,KITIMAT TOWNSITE,,,-9,0,1064320.2015.1.4,,0,,2015,,,0,,27,5,,,,,BC,,5,,,,4,1064320,2015-01-04 00:00:00
-128.63416666666666,54.05361111111111,,,13,18,7,KITIMAT TOWNSITE,,,15.5,4,1064320.2017.7.22,,0,,2017,,,0,,2.5,4,,,,,BC,,0,,,,22,1064320,2017-07-22 00:00:00
-128.63416666666666,54.05361111111111,,,0.5,3,12,KITIMAT TOWNSITE,,,1.8,12,1064320.2015.12.4,,0,,2015,,,0,,16.2,12,,,,,BC,,0,,,,4,1064320,2015-12-04 00:00:00
-128.63416666666666,54.05361111111111,,,-17,,12,KITIMAT TOWNSITE,,,,0,1064320.2017.12.31,M,0,M,2017,,M,,,,0,T,T,,,BC,,0,M,,,31,1064320,2017-12-31 00:00:00
-128.63416666666666,54.05361111111111,,,1.5,6,3,KITIMAT TOWNSITE,,,3.8,16,1064320.2016.3.3,,0,,2016,,,0,,14.2,16,,,,,BC,,0,,,,3,1064320,2016-03-03 00:00:00
-128.63416666666666,54.05361111111111,,,-1,3,11,KITIMAT TOWNSITE,,,1,25,1064320.2017.11.26,,4,,2017,,,0,,17,35,,,,,BC,,10,,,,26,1064320,2017-11-26 00:00:00
-128.63416666666666,54.05361111111111,,,14,26,6,KITIMAT TOWNSITE,,,20,5.4,1064320.2016.6.30,,0,,2016,,,2,,0,5.4,,,,,BC,,0,,,,30,1064320,2016-06-30 00:00:00
-128.63416666666666,54.05361111111111,,,14,18,8,KITIMAT TOWNSITE,,,16,2.3,1064320.2018.8.3,,0,,2018,,,0,,2,2.3,,,,,BC,,0,,,,3,1064320,2018-08-03 00:00:00
-128.63416666666666,54.05361111111111,,,2,8,1,KITIMAT TOWNSITE,,,5,5.8,1064320.2015.1.16,,0,,2015,,,0,,13,5.8,,,,,BC,,0,,,,16,1064320,2015-01-16 00:00:00
