x,y,MAX_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST,MIN_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,LOCAL_DAY,LOCAL_DATE,TOTAL_RAIN,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,SNOW_ON_GROUND,SPEED_MAX_GUST,HEATING_DEGREE_DAYS_FLAG,LOCAL_MONTH,STATION_NAME,LOCAL_YEAR,MIN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,TOTAL_RAIN_FLAG,SNOW_ON_GROUND_FLAG,PROVINCE_CODE,MEAN_TEMPERATURE,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,MAX_REL_HUMIDITY,ID,MIN_REL_HUMIDITY,TOTAL_SNOW,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG
-125.92333333333333,49.11055555555556,,,13,0,,15,2015-08-15 00:00:00,0,,2.7,0,,,8,LENNARD ISLAND,2015,,,,1034600,T,,BC,15.3,17.5,T,,1034600.2015.8.15,,0,,0,,
-125.92333333333333,49.11055555555556,,,11,0,,21,2013-06-21 00:00:00,0,,3.2,0,,,6,LENNARD ISLAND,2013,,,,1034600,T,,BC,14.8,18.5,T,,1034600.2013.6.21,,0,,0,,
-125.92333333333333,49.11055555555556,,,4,29.8,,18,2019-04-18 00:00:00,29.8,,11,0,,,4,LENNARD ISLAND,2019,,,,1034600,,,BC,7,10,,,1034600.2019.4.18,,0,,0,,
-125.92333333333333,49.11055555555556,,,4,9.4,,20,2021-03-20 00:00:00,9.4,,12,0,,,3,LENNARD ISLAND,2021,,,,1034600,,,BC,6,8,,,1034600.2021.3.20,,0,,0,,
-125.92333333333333,49.11055555555556,,,9,0.4,,20,2023-09-20 00:00:00,0.4,,5.5,0,,,9,LENNARD ISLAND,2023,,,,1034600,,,BC,12.5,16,,,1034600.2023.9.20,,0,,0,,
-125.92333333333333,49.11055555555556,,,0,0.6,,8,2016-12-08 00:00:00,0.6,,15,0,,,12,LENNARD ISLAND,2016,,,,1034600,,,BC,3,6,,,1034600.2016.12.8,,0,,0,,
-125.92333333333333,49.11055555555556,,,6.5,0,,20,2019-05-20 00:00:00,0,,7.2,0,,,5,LENNARD ISLAND,2019,,,,1034600,,,BC,10.8,15,,,1034600.2019.5.20,,0,,0,,
-125.92333333333333,49.11055555555556,,,7,66.4,,12,2023-01-12 00:00:00,66.4,,9.2,0,,,1,LENNARD ISLAND,2023,,,,1034600,,,BC,8.8,10.5,,,1034600.2023.1.12,,0,,0,,
-125.92333333333333,49.11055555555556,,,10,0,,19,2022-10-19 00:00:00,0,,6,0,,,10,LENNARD ISLAND,2022,,,,1034600,,,BC,12,14,,,1034600.2022.10.19,,0,,0,,
-125.92333333333333,49.11055555555556,,,11,10.2,,5,2022-06-05 00:00:00,10.2,,5,0,,,6,LENNARD ISLAND,2022,,,,1034600,,,BC,13,15,,,1034600.2022.6.5,,0,,0,,
