x,y,STATION_NAME,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,COOLING_DEGREE_DAYS,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,SPEED_MAX_GUST_FLAG,PROVINCE_CODE,TOTAL_PRECIPITATION_FLAG,MIN_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,LOCAL_YEAR,MAX_REL_HUMIDITY,HEATING_DEGREE_DAYS,MIN_TEMPERATURE,CLIMATE_IDENTIFIER,ID,MAX_TEMPERATURE_FLAG,SNOW_ON_GROUND_FLAG,MIN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_RAIN,TOTAL_SNOW_FLAG,TOTAL_RAIN_FLAG,TOTAL_SNOW,LOCAL_DATE,MEAN_TEMPERATURE,MAX_REL_HUMIDITY_FLAG,MIN_REL_HUMIDITY_FLAG,MAX_TEMPERATURE,DIRECTION_MAX_GUST
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,0,0,11,19,,0,,,BC,,,,2016,,10.1,6.3,1062251,1062251.2016.11.19,,,,,,M,M,,2016-11-19 00:00:00,7.9,,,9.4,0
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,95,0,11,21,,13.4,,,BC,,,,2016,,12,2.3,1062251,1062251.2016.11.21,,,,,,M,M,,2016-11-21 00:00:00,6,,,9.7,14
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,83,0,11,9,,1,,,BC,,,,2016,,7.4,10,1062251,1062251.2016.11.9,,,,,,M,M,,2016-11-09 00:00:00,10.6,,,11.2,15
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,35,0,11,17,,3.2,,,BC,,,,2016,,10.7,6,1062251,1062251.2016.11.17,,,,,,M,M,,2016-11-17 00:00:00,7.3,,,8.5,6
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,102,0,11,2,,48.2,,,BC,,,,2016,,8.5,6.5,1062251,1062251.2016.11.2,,,,,,M,M,,2016-11-02 00:00:00,9.5,,,12.5,15
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,52,0,11,16,,3.8,,,BC,,,,2016,,11.1,5.2,1062251,1062251.2016.11.16,,,,,,M,M,,2016-11-16 00:00:00,6.9,,,8.6,17
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,117,0,11,7,,23.4,,,BC,,,,2016,,7.9,9.2,1062251,1062251.2016.11.7,,,,,,M,M,,2016-11-07 00:00:00,10.1,,,11,14
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,41,0,11,30,,0.8,,,BC,,,,2016,,11.3,5.2,1062251,1062251.2016.11.30,,,,,,M,M,,2016-11-30 00:00:00,6.7,,,8.1,16
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,70,0,11,5,,12.4,,,BC,,,,2016,,7.9,9,1062251,1062251.2016.11.5,,,,,,M,M,,2016-11-05 00:00:00,10.1,,,11.2,14
-131.60155527777778,53.03041,CUMSHEWA ISLAND,,87,0,11,18,,11.8,,,BC,,,,2016,,10,6.1,1062251,1062251.2016.11.18,,,,,,M,M,,2016-11-18 00:00:00,8,,,9.8,29
