x,y,LOCAL_DAY,HEATING_DEGREE_DAYS_FLAG,TOTAL_RAIN,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST,MEAN_TEMPERATURE,MAX_TEMPERATURE,LOCAL_MONTH,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,MAX_REL_HUMIDITY,SNOW_ON_GROUND,TOTAL_RAIN_FLAG,MIN_TEMPERATURE_FLAG,STATION_NAME,MAX_TEMPERATURE_FLAG,LOCAL_DATE,SNOW_ON_GROUND_FLAG,LOCAL_YEAR,MAX_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS,TOTAL_SNOW_FLAG,TOTAL_PRECIPITATION_FLAG,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE_FLAG,ID,TOTAL_SNOW,MIN_REL_HUMIDITY_FLAG,PROVINCE_CODE,DIRECTION_MAX_GUST_FLAG,TOTAL_PRECIPITATION,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE,CLIMATE_IDENTIFIER
-122.9546111111111,50.12894444444444,6,,,29,,21.7,31.3,7,,,92,,,,WHISTLER - NESTERS,,2021-07-06 00:00:00,,2021,,3.7,,,0,,1100875.2021.7.6,,,BC,M,0,M,12.1,1100875
-122.9546111111111,50.12894444444444,16,,,56,,16.5,19.5,7,,,80,,,,WHISTLER - NESTERS,,2021-07-16 00:00:00,,2021,,0,,,1.5,,1100875.2021.7.16,,,BC,M,0.1,M,13.5,1100875
-122.9546111111111,50.12894444444444,19,,,27,,17.9,27.6,7,,,91,,,,WHISTLER - NESTERS,,2021-07-19 00:00:00,,2021,,0,,,0.1,,1100875.2021.7.19,,,BC,M,0,M,8.2,1100875
-122.9546111111111,50.12894444444444,2,,,47,,21.1,26.3,7,,,86,,,,WHISTLER - NESTERS,,2021-07-02 00:00:00,,2021,,3.1,,,0,,1100875.2021.7.2,,,BC,M,0,M,16,1100875
-122.9546111111111,50.12894444444444,22,,,32,,16,22.5,7,,,90,,,,WHISTLER - NESTERS,,2021-07-22 00:00:00,,2021,,0,,,2,,1100875.2021.7.22,,,BC,M,0,M,9.5,1100875
-122.9546111111111,50.12894444444444,28,,,24,,21.5,31.9,7,,,89,,,,WHISTLER - NESTERS,,2021-07-28 00:00:00,,2021,,3.5,,,0,,1100875.2021.7.28,,,BC,M,0,M,11.2,1100875
-122.9546111111111,50.12894444444444,8,,,55,,18.2,22.2,7,,,86,,,,WHISTLER - NESTERS,,2021-07-08 00:00:00,,2021,,0.2,,,0,,1100875.2021.7.8,,,BC,M,0,M,14.1,1100875
-122.9546111111111,50.12894444444444,25,,,31,,19.6,28.3,7,,,91,,,,WHISTLER - NESTERS,,2021-07-25 00:00:00,,2021,,1.6,,,0,,1100875.2021.7.25,,,BC,M,0,M,10.9,1100875
-122.9546111111111,50.12894444444444,9,,,34,,21,28.7,7,,,91,,,,WHISTLER - NESTERS,,2021-07-09 00:00:00,,2021,,3,,,0,,1100875.2021.7.9,,,BC,M,0,M,13.3,1100875
-122.9546111111111,50.12894444444444,10,,,35,,21,28.6,7,,,92,,,,WHISTLER - NESTERS,,2021-07-10 00:00:00,,2021,,3,,,0,,1100875.2021.7.10,,,BC,M,0,M,13.4,1100875
-122.9546111111111,50.12894444444444,27,,,24,,20.2,29.9,7,,,89,,,,WHISTLER - NESTERS,,2021-07-27 00:00:00,,2021,,2.2,,,0,,1100875.2021.7.27,,,BC,M,0,M,10.5,1100875
-122.9546111111111,50.12894444444444,26,,,30,,19.4,27.7,7,,,90,,,,WHISTLER - NESTERS,,2021-07-26 00:00:00,,2021,,1.4,,,0,,1100875.2021.7.26,,,BC,M,0,M,11,1100875
-122.9546111111111,50.12894444444444,1,,,56,,20.5,24.4,7,,,84,,,,WHISTLER - NESTERS,,2021-07-01 00:00:00,,2021,,2.5,,,0,,1100875.2021.7.1,,,BC,M,0,M,16.7,1100875
-122.9546111111111,50.12894444444444,24,,,32,,19.1,28,7,,,85,,,,WHISTLER - NESTERS,,2021-07-24 00:00:00,,2021,,1.1,,,0,,1100875.2021.7.24,,,BC,M,0,M,10.2,1100875
-122.9546111111111,50.12894444444444,31,,,36,,20.4,27.5,7,,,73,,,,WHISTLER - NESTERS,,2021-07-31 00:00:00,,2021,,2.4,,,0,,1100875.2021.7.31,,,BC,M,0,M,13.2,1100875
-122.9546111111111,50.12894444444444,29,,,17,,22.1,32.7,7,,,86,,,,WHISTLER - NESTERS,,2021-07-29 00:00:00,,2021,,4.1,,,0,,1100875.2021.7.29,,,BC,M,0,M,11.6,1100875
-122.9546111111111,50.12894444444444,23,,,35,,17.8,24.3,7,,,78,,,,WHISTLER - NESTERS,,2021-07-23 00:00:00,,2021,,0,,,0.2,,1100875.2021.7.23,,,BC,M,0,M,11.3,1100875
-122.9546111111111,50.12894444444444,30,,,15,,23.7,35.8,7,,,84,,,,WHISTLER - NESTERS,,2021-07-30 00:00:00,,2021,,5.7,,,0,,1100875.2021.7.30,,,BC,M,0,M,11.6,1100875
-122.9546111111111,50.12894444444444,5,,,23,,20.8,30.2,8,,,82,,,,WHISTLER - NESTERS,,2021-08-05 00:00:00,,2021,,2.8,,,0,,1100875.2021.8.5,,,BC,M,0,M,11.4,1100875
-122.9546111111111,50.12894444444444,2,,,31,,23.2,31.9,8,,,94,,,,WHISTLER - NESTERS,,2021-08-02 00:00:00,,2021,,5.2,,,0,,1100875.2021.8.2,,,BC,M,0,M,14.5,1100875
-122.9546111111111,50.12894444444444,1,,,45,,22.7,28,8,,,79,,,,WHISTLER - NESTERS,,2021-08-01 00:00:00,,2021,,4.7,,,0,,1100875.2021.8.1,,,BC,M,0,M,17.5,1100875
-122.9546111111111,50.12894444444444,4,,,15,,22.1,32.8,8,,,84,,,,WHISTLER - NESTERS,,2021-08-04 00:00:00,,2021,,4.1,,,0,,1100875.2021.8.4,,,BC,M,0,M,11.5,1100875
